group_id,group_rank,dataset,family,source_format,source_path,split,sample_rank,window_index,series_index,window_start,seq_len,n_channels,pooling,scale,mode_5,mode_10,acf_timescale,acf_first_min,ami2,trev,high_fluctuation,stretch_high,transition_matrix,periodicity,embedding_dist,ami_timescale,whiten_timescale,outlier_timing_pos,outlier_timing_neg,centroid_freq,stretch_decreasing,entropy_pairs,rs_range,dfa,low_freq_power,forecast_error
group_001,1,Monash__saugeenday_dataset,Monash,tsf,dataset/Monash_Dataset/saugeenday_dataset/saugeenday_dataset.tsf,train,1,7348,0,7348,96,1,mean,train_split_standard,-0.155563019,-0.445526655,6.833403782,31.000000000,0.305299306,0.120273074,0.400000000,32.000000000,0.040000000,0.000000000,0.263569463,16.000000000,0.111111111,-0.291666667,0.395833333,0.866647488,19.000000000,1.421414372,0.828571429,0.742857143,0.147262156,0.615401341
group_001,1,Monash__saugeenday_dataset,Monash,tsf,dataset/Monash_Dataset/saugeenday_dataset/saugeenday_dataset.tsf,train,2,15864,0,15864,96,1,mean,train_split_standard,0.045274273,-0.490743642,3.283900590,7.000000000,0.453340231,0.332619965,0.831578947,24.000000000,0.062500000,10.000000000,0.190864398,6.000000000,0.090909091,0.562500000,0.218750000,0.741085350,5.000000000,1.663312552,0.771428571,0.828571429,0.245436926,0.783815343
group_001,1,Monash__saugeenday_dataset,Monash,tsf,dataset/Monash_Dataset/saugeenday_dataset/saugeenday_dataset.tsf,train,3,2141,0,2141,96,1,mean,train_split_standard,-0.779838953,-0.536178930,3.854694023,7.000000000,0.471775861,0.021919755,0.800000000,18.000000000,0.013605442,20.000000000,0.321489592,6.000000000,0.153846154,0.083333333,0.750000000,0.807870490,16.000000000,1.720851263,0.657142857,0.600000000,0.245436926,0.691018591
group_001,1,Monash__saugeenday_dataset,Monash,tsf,dataset/Monash_Dataset/saugeenday_dataset/saugeenday_dataset.tsf,train,4,11624,0,11624,96,1,mean,train_split_standard,-0.981645644,-0.788358315,20.441464231,45.000000000,0.813146150,0.081450767,0.431578947,31.000000000,0.074074074,22.000000000,0.409392458,14.000000000,0.032258065,0.677083333,-0.427083333,0.919216122,6.000000000,1.416812038,0.828571429,0.600000000,0.049087385,0.308075588
group_001,1,Monash__saugeenday_dataset,Monash,tsf,dataset/Monash_Dataset/saugeenday_dataset/saugeenday_dataset.tsf,train,5,15737,0,15737,96,1,mean,train_split_standard,-0.377925267,-0.570432107,9.583167819,27.000000000,0.585396772,0.005562530,0.694736842,27.000000000,0.040000000,0.000000000,0.799849772,14.000000000,0.562500000,0.312500000,-0.468750000,0.971145645,14.000000000,1.483753094,0.828571429,0.571428571,0.098174770,0.321335191
group_001,2,TIME__CPHL__H,TIME,arrow,dataset/Time_Dataset/CPHL/H/data-00000-of-00001.arrow,train,1,12847,3,1245,96,1,mean,train_split_standard,0.425071845,0.631048672,4.431928236,8.000000000,0.348621020,0.064598989,0.926315789,19.000000000,0.111111111,14.000000000,0.274826228,7.000000000,0.064516129,0.302083333,-0.583333333,0.806992758,7.000000000,1.772709971,0.685714286,0.600000000,0.245436926,0.682256473
group_001,2,TIME__CPHL__H,TIME,arrow,dataset/Time_Dataset/CPHL/H/data-00000-of-00001.arrow,train,2,8059,2,2414,96,1,mean,train_split_standard,-0.956064452,-0.764628142,1.428207692,2.000000000,0.118275000,0.009035370,0.978947368,9.000000000,0.071625344,3.000000000,0.092605624,1.000000000,0.125000000,-0.760416667,-0.020833333,0.503822630,5.000000000,2.098416144,0.285714286,0.485714286,0.539961237,0.965801563
group_001,2,TIME__CPHL__H,TIME,arrow,dataset/Time_Dataset/CPHL/H/data-00000-of-00001.arrow,train,3,11606,3,4,96,1,mean,train_split_standard,0.664035528,0.428428412,6.640116574,2.000000000,0.407913438,0.037066167,0.926315789,22.000000000,0.055555556,2.000000000,0.097410622,1.000000000,0.071428571,-0.677083333,-0.250000000,0.802967394,6.000000000,1.662209320,0.657142857,0.657142857,0.147262156,0.647947911
group_001,2,TIME__CPHL__H,TIME,arrow,dataset/Time_Dataset/CPHL/H/data-00000-of-00001.arrow,train,4,11742,3,140,96,1,mean,train_split_standard,-1.124109878,-0.592176915,8.339618540,23.000000000,0.656824182,0.011611730,0.884210526,23.000000000,0.055555556,26.000000000,0.495373892,12.000000000,0.266666667,0.687500000,0.333333333,0.924236551,7.000000000,1.567677137,0.828571429,0.828571429,0.147262156,0.448608064
group_001,2,TIME__CPHL__H,TIME,arrow,dataset/Time_Dataset/CPHL/H/data-00000-of-00001.arrow,train,5,7541,2,1896,96,1,mean,train_split_standard,0.369047565,0.577058749,3.579885110,9.000000000,0.188457715,0.105520375,0.915789474,16.000000000,0.074074074,16.000000000,0.201499136,8.000000000,0.041666667,0.302083333,-0.614583333,0.701917739,9.000000000,1.887148778,0.542857143,0.828571429,0.343611696,0.818194850
group_001,3,TIME__SG_Weather__D,TIME,arrow,dataset/Time_Dataset/SG_Weather/D/data-00000-of-00001.arrow,train,1,5149,2,1397,96,4,mean,train_split_standard,-0.051805782,0.112266357,1.382769760,3.250000000,0.099572550,-0.624277680,0.960526316,9.000000000,0.049827355,7.500000000,0.077635352,2.750000000,0.090228175,-0.354166667,0.026041667,0.442997535,9.500000000,2.117992049,0.628571429,0.657142857,0.822213702,0.983324106
group_001,3,TIME__SG_Weather__D,TIME,arrow,dataset/Time_Dataset/SG_Weather/D/data-00000-of-00001.arrow,train,2,1267,0,1267,96,4,mean,train_split_standard,-0.128679856,0.132738947,0.861925104,5.000000000,0.095997158,0.291440988,0.942105263,6.500000000,0.012766009,8.000000000,0.075612328,3.250000000,0.445833333,-0.044270833,0.088541667,0.274735560,5.250000000,2.131418625,0.792857143,0.500000000,1.092194321,1.122290471
group_001,3,TIME__SG_Weather__D,TIME,arrow,dataset/Time_Dataset/SG_Weather/D/data-00000-of-00001.arrow,train,3,6369,3,741,96,4,mean,train_split_standard,-0.219395218,-0.389997475,2.362991810,2.000000000,0.131884210,-0.189482384,0.857894737,12.250000000,0.057476852,5.000000000,0.098114998,2.250000000,0.062605676,0.156250000,0.065104167,0.490790272,6.750000000,2.068355275,0.650000000,0.692857143,0.687223393,0.934139426
group_001,3,TIME__SG_Weather__D,TIME,arrow,dataset/Time_Dataset/SG_Weather/D/data-00000-of-00001.arrow,train,4,6743,3,1115,96,4,mean,train_split_standard,-0.184855577,-0.188520798,2.693695955,2.500000000,0.170220448,0.217235870,0.897368421,10.750000000,0.055369106,9.500000000,0.067401997,2.000000000,0.205269608,0.160156250,0.046875000,0.469729693,4.250000000,2.021614302,0.714285714,0.707142857,0.711767086,1.002691889
group_001,3,TIME__SG_Weather__D,TIME,arrow,dataset/Time_Dataset/SG_Weather/D/data-00000-of-00001.arrow,train,5,5788,3,160,96,4,mean,train_split_standard,-0.300359727,-0.168566334,0.819710765,2.750000000,0.122266311,0.055252913,0.963157895,11.000000000,0.008190405,2.750000000,0.058381734,2.000000000,0.310714286,-0.005208333,-0.101562500,0.313956101,5.000000000,2.131692812,0.807142857,0.700000000,1.153553552,1.065863017
group_001,4,TIME__Finland_Traffic__15T,TIME,arrow,dataset/Time_Dataset/Finland_Traffic/15T/data-00000-of-00001.arrow,train,1,13071,0,13071,96,1,mean,train_split_standard,-1.128092244,-1.296503089,11.858493795,44.000000000,0.869820261,0.004645663,0.800000000,56.000000000,0.062500000,0.000000000,1.141593480,20.000000000,0.409090909,0.031250000,0.687500000,0.956572391,11.000000000,1.543099512,0.657142857,0.571428571,0.098174770,0.266764264
group_001,4,TIME__Finland_Traffic__15T,TIME,arrow,dataset/Time_Dataset/Finland_Traffic/15T/data-00000-of-00001.arrow,train,2,24160,0,24160,96,1,mean,train_split_standard,-0.981233508,-1.153961913,10.785186274,34.000000000,0.863937027,-0.000681488,0.810526316,21.000000000,0.040000000,0.000000000,1.523333890,15.000000000,0.588235294,-0.812500000,-0.156250000,0.959512615,14.000000000,1.399679737,0.771428571,0.657142857,0.098174770,0.248426412
